record_id,disease,genus,publication_id,direction
synthetic-record-0058,SyntheticConditionB,GenusE,synthetic-paper-1-4-0,-1
synthetic-record-0059,SyntheticConditionB,GenusE,synthetic-paper-1-4-1,-1
synthetic-record-0060,SyntheticConditionB,GenusE,synthetic-paper-1-4-2,-1
synthetic-record-0061,SyntheticConditionB,GenusG,synthetic-paper-1-6-0,1
synthetic-record-0062,SyntheticConditionB,GenusG,synthetic-paper-1-6-0,1
synthetic-record-0063,SyntheticConditionB,GenusG,synthetic-paper-1-6-0,1
synthetic-record-0064,SyntheticConditionB,GenusG,synthetic-paper-1-6-1,1
synthetic-record-0065,SyntheticConditionB,GenusG,synthetic-paper-1-6-2,1
synthetic-record-0066,SyntheticConditionB,GenusH,synthetic-paper-1-7-0,-1
synthetic-record-0067,SyntheticConditionB,GenusH,synthetic-paper-1-7-0,-1
synthetic-record-0068,SyntheticConditionB,GenusH,synthetic-paper-1-7-0,-1
synthetic-record-0069,SyntheticConditionB,GenusH,synthetic-paper-1-7-1,-1
synthetic-record-0070,SyntheticConditionB,GenusH,synthetic-paper-1-7-2,-1
